"sale_date","order_count","total_revenue"
"","1","0"
"1/10/11","38","14984.4"
"1/11/11","73","59430.32"
"1/12/11","55","16431.69"
"1/13/11","47","15080.21"
"1/14/11","47","39332.38"
"1/16/11","29","7116.61"
"1/17/11","50","16520.33"
"1/18/11","39","10322.56"
"1/19/11","38","21298.02"
"1/20/11","43","14872"
"1/21/11","57","23617.9"
"1/23/11","30","10285.95"
"1/24/11","50","17454.2"
"1/25/11","78","23013.35"
"1/26/11","66","17061.85"
"1/27/11","68","19518.33"
"1/28/11","45","15766.61"
"1/30/11","25","6456.44"
"1/31/11","80","17542.37"
"1/4/11","42","11049.86"
"1/5/11","62","28150.4"
"1/6/11","71","31863.46"
"1/7/11","52","22194.34"
"1/9/11","51","15710.8"
"10/10/11","113","40841.17"
"10/11/11","92","32204.82"
"10/12/11","94","24874.94"
"10/13/11","89","32660.17"
"10/14/11","75","31316.44"
"10/16/11","39","21605.44"
"10/17/11","100","42160.31"
"10/18/11","89","36608.08"
"10/19/11","97","30763.59"
"10/2/11","35","11572"
"10/20/11","103","60734.3"
"10/21/11","66","60151.88"
"10/23/11","45","12302.41"
"10/24/11","103","32169.87"
"10/25/11","78","35728.8"
"10/26/11","99","34217.97"
"10/27/11","129","46025.57"
"10/28/11","77","36288.49"
"10/3/11","73","60113.91"
"10/30/11","97","34545.28"
"10/31/11","68","32282.48"
"10/4/11","88","38131.34"
"10/5/11","99","73759.23"
"10/6/11","180","52802.89"
"10/7/11","95","48877.56"
"10/9/11","40","11864.65"
"11/1/11","92","28719.21"
"11/10/11","161","68461.27"
"11/11/11","103","36659.71"
"11/13/11","89","28058.08"
"11/14/11","134","56825.03"
"11/15/11","114","47515.94"
"11/16/11","137","46890.29"
"11/17/11","154","55111.89"
"11/18/11","142","35789.04"
"11/2/11","99","38085.42"
"11/20/11","103","30034.36"
"11/21/11","111","44117.91"
"11/22/11","149","49090.43"
"11/23/11","148","70356.45"
"11/24/11","119","35680.76"
"11/25/11","78","26294.65"
"11/27/11","58","17261.38"
"11/28/11","125","50108.5"
"11/29/11","137","48474.95"
"11/3/11","111","59941.92"
"11/30/11","134","40520.85"
"11/4/11","125","53203.64"
"11/6/11","103","42907.4"
"11/7/11","104","27061.91"
