customer_id,last_purchase,frequency,monetary,recency,R,F,M,RFM_Score
12346,2011-01-18 10:01:00,1,77183.6,325,1,2,3,123
12347,2011-08-02 08:48:00,7,4310.0,129,2,3,3,233
12348,2011-09-25 13:13:00,4,1797.24,74,3,3,3,333
12349,2011-11-21 09:51:00,1,1757.55,18,3,2,3,323
12350,2011-02-02 16:01:00,1,334.4,309,1,2,1,121
12352,2011-09-28 14:58:00,8,2506.04,71,3,3,3,333
12353,2011-05-19 17:47:00,1,89.0,203,1,2,1,121
12354,2011-04-21 13:11:00,1,1079.4,231,1,2,2,122
12355,2011-05-09 13:49:00,1,459.4,213,1,2,2,122
12356,2011-04-08 12:33:00,3,2811.43,244,1,2,3,123
12357,2011-11-06 16:07:00,1,6207.67,32,3,2,3,323
12358,2011-07-12 10:04:00,2,1168.06,150,2,2,2,222
12359,2011-06-03 12:26:00,4,6372.58,188,1,3,3,133
12360,2011-08-19 10:10:00,3,2662.06,112,2,2,3,223
12361,2011-02-25 13:51:00,1,189.9,286,1,2,1,121
12362,2011-09-28 12:04:00,10,5226.23,72,3,3,3,333
12363,2011-08-22 10:18:00,2,552.0,109,2,2,2,222
12364,2011-09-22 16:07:00,4,1313.1,77,3,3,3,333
12365,2011-02-21 14:04:00,2,641.38,290,1,2,2,122
12367,2011-12-05 16:48:00,1,168.9,3,3,2,1,321
12370,2011-03-10 12:48:00,4,3545.69,273,1,3,3,133
12371,2011-10-26 10:16:00,2,1887.96,44,3,2,3,323
12372,2011-09-29 12:12:00,3,1298.04,71,3,2,3,323
12373,2011-02-01 13:10:00,1,364.6,310,1,2,1,121
12374,2011-11-14 15:37:00,1,742.93,24,3,2,2,322
12375,2011-09-02 14:23:00,2,457.5,97,2,2,2,222
12377,2010-12-20 09:37:00,2,1628.12,354,1,2,3,123
12378,2011-08-02 10:34:00,1,4008.62,129,2,2,3,223
12379,2011-09-19 10:09:00,2,852.24,81,3,2,2,322
12380,2011-09-22 17:31:00,4,2724.81,77,3,3,3,333
12381,2011-08-12 09:57:00,5,1845.31,119,2,3,3,233
12383,2011-06-08 08:02:00,5,1850.56,184,1,3,3,133
12384,2011-08-10 11:23:00,2,585.27,121,2,2,2,222
12386,2010-12-08 09:53:00,2,401.9,366,1,2,2,122
12388,2011-09-25 11:30:00,6,2780.66,75,3,3,3,333
12390,2011-09-21 09:33:00,1,549.84,79,3,2,2,322
12391,2011-11-18 12:07:00,1,460.89,21,3,2,2,322
12393,2011-09-28 15:41:00,4,1582.6,71,3,3,3,333
