"customer_id","last_purchase","frequency","monetary"
"12346","1/18/11 10:01","1","77183.6"
"12347","8/2/11 8:48","7","4310"
"12348","9/25/11 13:13","4","1797.24"
"12349","11/21/11 9:51","1","1757.55"
"12350","2/2/11 16:01","1","334.4"
"12352","9/28/11 14:58","8","2506.04"
"12353","5/19/11 17:47","1","89"
"12354","4/21/11 13:11","1","1079.4"
"12355","5/9/11 13:49","1","459.4"
"12356","4/8/11 12:33","3","2811.43"
"12357","11/6/11 16:07","1","6207.67"
"12358","7/12/11 10:04","2","1168.06"
"12359","6/3/11 12:26","4","6372.58"
"12360","8/19/11 10:10","3","2662.06"
"12361","2/25/11 13:51","1","189.9"
"12362","9/28/11 12:04","10","5226.23"
"12363","8/22/11 10:18","2","552"
"12364","9/22/11 16:07","4","1313.1"
"12365","2/21/11 14:04","2","641.38"
"12367","12/5/11 16:48","1","168.9"
"12370","3/10/11 12:48","4","3545.69"
"12371","10/26/11 10:16","2","1887.96"
"12372","9/29/11 12:12","3","1298.04"
"12373","2/1/11 13:10","1","364.6"
"12374","11/14/11 15:37","1","742.93"
"12375","9/2/11 14:23","2","457.5"
"12377","12/20/10 9:37","2","1628.12"
"12378","8/2/11 10:34","1","4008.62"
"12379","9/19/11 10:09","2","852.24"
"12380","9/22/11 17:31","4","2724.81"
"12381","8/12/11 9:57","5","1845.31"
"12383","6/8/11 8:02","5","1850.56"
"12384","8/10/11 11:23","2","585.27"
"12386","12/8/10 9:53","2","401.9"
"12388","9/25/11 11:30","6","2780.66"
"12390","9/21/11 9:33","1","549.84"
"12391","11/18/11 12:07","1","460.89"
"12393","9/28/11 15:41","4","1582.6"
"12394","5/6/11 14:01","2","1272.48"
"12395","8/19/11 15:18","12","3018.63"
"12397","7/27/11 14:21","2","2409.9"
"12398","10/25/11 10:27","1","1635.66"
"12399","8/12/11 13:15","4","1108.65"
"12401","2/9/11 13:50","1","84.3"
"12402","1/20/11 13:49","1","225.6"
"12403","10/21/11 10:51","1","427.7"
"12405","7/14/11 8:52","1","1710.39"
"12406","6/9/11 10:23","2","3415.3"
"12407","7/6/11 9:49","5","1708.12"
"12408","9/2/11 10:27","5","2888.55"
"12409","9/22/11 10:38","3","11072.67"
"12410","2/4/11 10:39","2","693.33"
"12412","9/26/11 10:16","3","1226.88"
"12413","4/17/11 15:33","3","758.1"
"12414","5/6/11 14:51","3","562.41"
"12415","9/1/11 13:51","21","124914.53"
"12417","8/4/11 18:51","9","3649.1"
"12418","8/19/11 11:08","1","668.58"
"12420","10/7/11 8:55","1","600.39"
"12421","8/17/11 10:56","4","807.04"
"12422","9/5/11 9:48","3","803.56"
"12423","8/31/11 8:55","8","1859.31"
"12424","6/30/11 12:06","2","1760.96"
"12425","9/22/11 17:31","1","777.2"
"12426","5/29/11 12:26","1","582.73"
"12427","12/3/10 10:44","3","825.8"
"12428","8/11/11 12:58","9","7956.46"
"12429","6/20/11 12:14","4","3750.4"
"12430","10/27/11 15:09","1","256.4"
"12431","8/12/11 14:19","15","6487.45"
"12432","6/22/11 13:12","5","5059.32"
"12433","9/9/11 13:44","7","13375.87"
"12434","9/16/11 12:38","2","806.14"
"12435","9/21/11 9:06","2","7829.89"
"12436","9/1/11 12:09","1","509.01"
"12437","9/22/11 16:58","18","4951.41"
"12438","7/22/11 13:29","2","2906.85"
"12441","12/8/10 10:45","1","173.55"
"12442","12/6/11 14:22","1","172.06"
"12444","9/15/11 9:43","5","5005.46"
"12445","11/17/11 18:43","1","133.4"
"12446","10/13/11 12:50","1","1002.31"
"12447","4/10/11 13:25","1","476.49"
"12448","10/26/11 13:46","1","449.45"
"12449","9/9/11 9:13","4","4067.29"
"12450","7/6/11 14:41","2","197.88"
"12451","5/5/11 17:34","5","9035.52"
"12452","11/23/11 8:05","2","430.57"
"12453","7/28/11 14:08","1","707.09"
"12454","10/14/11 17:13","1","3528.34"
"12455","9/27/11 15:31","6","2466.86"
"12456","7/31/11 15:25","3","3181.04"
"12457","9/19/11 9:04","7","2363.23"
"12458","9/29/11 15:25","2","947.4"
"12461","9/6/11 16:57","2","826.88"
"12462","2/9/11 14:44","2","1189.59"
"12463","6/17/11 14:28","4","1344.78"
"12464","8/25/11 13:33","8","1212.05"
"12465","6/23/11 13:37","2","742.19"
"12468","6/5/11 11:36","2","729.54"
"12471","9/22/11 17:25","30","19824.05"
"12472","7/24/11 11:55","7","6572.11"
"12473","8/17/11 12:04","5","3938.55"
"12474","9/2/11 10:53","18","7375.79"
"12475","10/17/11 10:10","1","723.38"
"12476","9/16/11 10:56","11","6816.42"
"12477","8/31/11 9:11","6","13219.74"
"12478","12/6/11 9:56","1","680.99"
"12479","11/28/11 13:26","1","527.2"
"12480","7/19/11 14:04","4","3281.63"
"12481","6/13/11 10:52","10","5596.32"
"12483","9/2/11 11:42","8","2484.98"
"12484","8/31/11 9:44","6","4541.72"
"12488","9/25/11 10:34","3","1298.66"
"12489","1/7/11 13:13","1","334.93"
"12490","9/7/11 13:22","10","5417.93"
"12491","11/1/11 12:18","1","460.4"
"12492","8/26/11 14:51","2","263.21"
"12493","6/27/11 10:17","2","433.74"
"12494","7/1/11 12:17","7","1246.1"
"12497","9/19/11 12:29","1","1043.1"
"12498","11/18/11 12:53","3","403.7"
"12500","8/25/11 12:50","11","4257.82"
"12501","1/7/11 12:28","1","2169.39"
"12502","9/5/11 11:52","5","3723.87"
"12504","11/9/11 14:56","2","482.05"
"12506","4/21/11 8:54","1","73.5"
"12507","7/7/11 10:20","3","1304.81"
"12508","11/13/11 15:37","2","398.27"
"12509","2/28/11 14:45","1","176.5"
"12510","7/20/11 10:15","2","982.57"
"12512","10/4/11 14:55","2","138.03"
"12513","8/19/11 10:51","1","612.29"
"12514","3/17/11 16:38","1","1017.68"
"12515","12/21/10 15:43","1","383.7"
"12516","9/23/11 9:13","2","1312.06"
"12517","9/27/11 11:50","5","2502.84"
"12518","9/23/11 15:45","5","2056.89"
"12519","10/7/11 9:26","1","340.84"
"12520","9/21/11 15:23","5","2634.26"
"12521","7/20/11 10:51","1","599.68"
"12522","10/31/11 15:30","2","192.72"
"12523","9/21/11 14:43","11","1789.77"
"12524","6/30/11 15:30","8","4485.72"
"12526","9/6/11 14:19","3","1316.66"
